Date,Open,High,Low,Close,Adj Close,Volume,3MA,5MA
2001-03-21,3720,3900,3700,3870,2908.463867,40550000,2883.41276,2866.377832
2001-03-22,3980,3990,3920,3980,2991.134033,37465000,2878.402262,2900.948633
2001-03-23,4090,4370,4080,4300,3231.626709,91755000,2923.494954,2909.967236
2001-03-26,4400,4430,4340,4340,3261.688477,42870000,3043.741536,2971.593506
2001-03-27,4300,4310,4120,4150,3118.89502,31345000,3161.483073,3052.76001
2001-03-28,4260,4260,4150,4150,3118.89502,26075000,3204.070069,3102.361621
2001-03-29,4090,4180,4040,4090,3073.802979,29920000,3166.492839,3144.447852
2001-03-30,4110,4170,4040,4160,3126.410645,30100000,3103.86434,3160.981641
2001-04-02,4040,4100,3960,3990,2998.648438,39140000,3106.369548,3139.938428
2001-04-03,3810,3870,3790,3800,2855.855957,46070000,3066.287354,3087.33042
2001-04-04,3700,3740,3630,3660,2750.640137,62280000,2993.638347,3034.722608
2001-04-05,3660,3660,3660,3660,2750.640137,0,2868.381511,2961.071631
2001-04-06,3960,3960,3780,3840,2885.917969,85290000,2785.712077,2896.439063
2001-04-09,3790,3810,3710,3710,2788.217285,25840000,2795.732748,2848.340528
2001-04-10,3710,3740,3610,3640,2735.609863,39175000,2808.258464,2806.254297
2001-04-11,3780,3800,3720,3720,2795.732666,44515000,2803.248372,2782.205078
2001-04-12,3940,4090,3900,4010,3013.679688,73660000,2773.186605,2791.223584
2001-04-13,4100,4150,4030,4060,3051.256348,38840000,2848.340739,2843.831494
2001-04-16,4060,4080,3940,3940,2961.071289,10200000,2953.556234,2876.89917
2001-04-17,3920,4020,3850,3970,2983.617676,16815000,3008.669108,2911.469971
2001-04-18,4110,4280,4070,4280,3216.595703,47790000,2998.648438,2961.071533
2001-04-19,4620,4920,4580,4700,3532.242432,131305000,3053.761556,3045.244141
2001-04-20,4720,4780,4490,4490,3374.419189,44905000,3244.151937,3148.95669
